,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
7893,mope,3.27,1.64,22,3.26,1.69,19
7894,moped,5.0,1.79,21,3.62,2.27,21
7896,morale,5.95,1.85,20,4.1,2.36,20
7897,morality,6.48,1.81,21,4.76,2.3,25
7898,moray,4.74,0.45,19,4.45,2.04,20
7899,morbid,2.73,1.67,41,5.29,2.65,21
7900,mores,5.17,1.42,18,2.6,1.64,20
7901,morgue,1.79,1.18,19,3.48,2.62,21
7902,morn,3.62,2.18,21,3.0,1.98,22
7903,morning,6.41,1.92,22,3.95,2.33,21
7904,moron,4.3,1.92,23,4.5,2.84,22
7905,moronic,3.25,1.52,20,3.81,1.99,21
7906,morph,5.5,1.5,18,5.19,2.32,21
7907,morphine,4.58,2.27,19,5.14,3.0,21
7908,morsel,5.3,1.56,20,3.41,2.13,22
7909,mortal,4.39,2.0,18,3.55,2.04,20
7910,mortality,5.15,2.46,20,6.9,1.74,20
7911,mortar,4.14,2.06,21,4.37,2.83,19
7912,mortgage,3.45,1.5,22,4.43,2.39,23
7913,mortician,3.56,1.58,18,3.33,2.06,18
7914,mortuary,2.21,1.55,19,3.59,2.42,22
7915,mosaic,6.33,1.49,21,3.7,2.22,23
7916,mosey,5.85,1.9,20,4.5,2.67,20
7917,mosque,4.11,1.91,18,3.0,2.55,20
7918,mosquito,3.12,2.08,40,5.17,2.64,41
7919,motel,5.3,1.49,20,3.55,2.35,20
7920,moth,4.47,2.06,19,2.55,1.9,20
7921,mother,7.53,1.86,80,4.73,2.92,106
7922,motherfucker,1.61,1.04,18,7.33,2.06,21
7924,motherhood,6.8,2.42,20,5.52,2.68,21
7925,motherland,5.8,1.77,20,4.22,2.56,23
7926,motherless,1.9,1.48,21,4.52,2.22,25
7928,motif,5.27,1.55,22,4.24,2.49,25
7929,motion,5.8,1.47,20,4.71,2.31,21
7930,motivate,6.05,2.53,19,5.09,2.45,22
7931,motivation,6.24,2.05,21,4.73,2.6,22
7932,motivational,6.76,1.76,25,6.37,2.31,19
7933,motive,5.32,1.55,22,4.86,2.57,22
7934,motley,4.89,1.94,19,2.95,2.06,21
7935,motor,5.64,1.81,22,5.42,1.74,19
7936,motorbike,5.95,2.42,20,5.68,2.73,19
7937,motorboat,6.2,2.02,20,4.22,2.86,18
7938,motorcade,4.64,1.81,22,4.67,1.81,18
7939,motorcar,5.7,1.63,20,3.95,2.04,21
7940,motorcycle,5.8,1.36,20,5.8,2.76,20
7941,motorist,5.47,0.84,19,4.24,2.0,21
7942,motto,5.95,1.19,20,3.86,2.44,22
7943,mould,3.57,1.66,21,3.35,2.4,23
7944,mound,5.43,1.5,21,3.63,2.59,19
7945,mount,5.38,1.28,21,4.09,2.67,22
